vegID,birdID,broodID,age(d),age_class,Use,avgdbh(cm),maxdbh(cm),basal_area(m^2/ha),canopy_ht(m),sapling_cover(%),%shrub_cover,slope,aspect,beers' aspect,%understory,%midstory,%overstory,dist_canopygap(m),dist_water(m),,Use,"1 = used, 2  = random available, 0 = nest"
Mad19,13,14,19,4,1,63.1,93.1,16.07,30,8,16,5,95,1.64,38.1,85.7,76.2,5,0,,,
WWd19,17,16,19,4,1,48.5,76.1,29.84,30.5,15,6,12,44,2,0.0,76.2,95.2,100,1577,,,
Nd17,15,16,17,4,1,35,47.4,20.66,30.8,60,35,11,242,0.04,76.2,81.0,81.0,8,2282,,,
FRJd20,4,7,20,4,1,44.4,62.3,27.55,31,20,20,11,148,0.78,71.4,95.2,81.0,25,2398,,,
PCd14,14,15,14,4,1,22.6,40.6,34.44,31.7,30,10,35,146,0.81,85.7,90.5,76.2,11,66,,,
Nd20,15,16,20,4,1,38.9,64.7,34.44,32,0,15,6,294,0.64,33.3,66.7,100.0,15,3030,,,
FR3d16,5,7,16,4,1,48.9,80.8,50.51,32.3,0,0,5,35,1.98,33.3,76.2,100.0,8,2480,,,
BBd15,11,13,15,4,1,36.7,56.9,29.84,32.5,18,15,30,348,1.54,42.9,100.0,100.0,8,425,,,
SGd15,19,18,15,4,1,36,67,34.44,32.5,6,30,19,184,0.25,23.8,57.1,100.0,8,568,,,
FPd19,3,6,19,4,1,48.2,63.3,41.32,33,95,10,11,152,0.71,95.2,76.2,81.0,20,3162,,,
BBd13,11,13,13,4,1,41.4,58.2,18.37,33.3,22,90,24,75,1.87,57.1,52.4,66.7,4,573,,,
FRJd15,4,7,15,4,1,44.4,59.1,32.14,34,0,1,7,170,0.43,28.6,28.6,90.5,2,2436,,,
Nd19,15,16,19,4,1,42,71,34.44,35,40,35,6,316,1.02,71.4,81.0,95.2,7,2165,,,
Mad14,13,14,14,4,1,33,76.2,29.84,36,15,10,24,94,1.66,71.4,71.4,85.7,6,44,,,
WWd18,17,16,18,4,1,36.1,56.8,25.25,36.7,66,40,12,55,1.98,71.4,85.7,100.0,40,1642,,,
Cd13,12,14,13,4,1,42.8,72.2,29.84,37,20,20,30,96,1.63,23.8,61.9,85.7,2,33,,,
Cd14,12,14,14,4,1,52.5,75,22.96,37,20,25,36,85,1.77,23.8,81.0,81.0,7,139,,,
Cd15,12,14,15,4,1,48,75,18.37,37,0,40,30,96,1.63,33.3,90.5,90.5,8,97,,,
BBd14,11,13,14,4,1,45.5,87.9,20.66,38,10,40,22,96,1.63,38.1,71.4,100.0,7,474,,,
PCd26,14,15,26,5,1,5,5,0,4,85,96,26,30,1.97,52.4,4.8,0.0,0,86,,,
